Transaction_ID,Transaction_Amount,Timestamp,Location,Transaction_Type,Is_Fraudulent,Transaction_Frequency,Average_Transaction_Amount,Time_Since_Last_Transaction,Deviation_From_Avg
TID00001,1873.33,2023-01-01 00:00:00,City_C,Transfer,0,6,627.79,82,1245.54
TID00002,4753.62,2023-01-01 01:00:00,City_D,Purchase,1,14,518.6,26,4235.02
TID00003,3660.24,2023-01-01 02:00:00,City_C,Purchase,1,12,1294.19,42,2366.05
TID00004,2993.69,2023-01-01 03:00:00,City_D,Purchase,0,27,787.4,16,2206.29
TID00005,780.94,2023-01-01 04:00:00,City_D,Purchase,0,26,1271.41,22,-490.47
TID00006,780.82,2023-01-01 05:00:00,City_C,Transfer,0,12,644.74,23,136.08
TID00007,291.36,2023-01-01 06:00:00,City_B,Transfer,0,8,1254.94,47,-963.58
TID00008,4331.01,2023-01-01 07:00:00,City_D,Transfer,0,10,587.71,67,3743.3
TID00009,3005.97,2023-01-01 08:00:00,City_C,Transfer,1,16,149.4,3,2856.57
TID00010,3540.65,2023-01-01 09:00:00,City_A,Purchase,0,26,1828.67,12,1711.98
TID00011,103.9,2023-01-01 10:00:00,City_C,Withdrawal,0,8,1772.25,23,-1668.35
TID00012,4849.58,2023-01-01 11:00:00,City_A,Transfer,0,41,1943.06,11,2906.52
TID00013,4162.38,2023-01-01 12:00:00,City_D,Transfer,0,45,1447.23,52,2715.15
TID00014,1062.48,2023-01-01 13:00:00,City_C,Purchase,0,29,1381.31,50,-318.83
TID00015,909.94,2023-01-01 14:00:00,City_C,Purchase,0,20,1140.06,57,-230.12
TID00016,917.84,2023-01-01 15:00:00,City_A,Purchase,0,17,295.59,64,622.25
TID00017,1521.91,2023-01-01 16:00:00,City_C,Purchase,0,19,419.01,46,1102.9
TID00018,2624.26,2023-01-01 17:00:00,City_C,Withdrawal,0,17,614.47,29,2009.79
TID00019,2160.29,2023-01-01 18:00:00,City_D,Withdrawal,0,39,1785.8,70,374.49
TID00020,1456.85,2023-01-01 19:00:00,City_C,Transfer,0,1,387.29,46,1069.56
TID00021,3059.65,2023-01-01 20:00:00,City_B,Withdrawal,0,29,1849.6,16,1210.05
TID00022,698.33,2023-01-01 21:00:00,City_A,Transfer,0,14,1069.43,98,-371.1
TID00023,1461.43,2023-01-01 22:00:00,City_C,Transfer,0,17,1445.36,51,16.07
TID00024,1832.44,2023-01-01 23:00:00,City_A,Withdrawal,0,13,264.98,11,1567.46
TID00025,2280.89,2023-01-02 00:00:00,City_A,Transfer,0,29,574.62,11,1706.27
TID00026,3926.09,2023-01-02 01:00:00,City_A,Purchase,0,34,1919.11,63,2006.98
TID00027,999.17,2023-01-02 02:00:00,City_C,Transfer,0,27,568.99,53,430.18
TID00028,2571.66,2023-01-02 03:00:00,City_C,Purchase,0,46,628.22,89,1943.44
TID00029,2962.48,2023-01-02 04:00:00,City_A,Withdrawal,1,33,435.31,58,2527.17
TID00030,233.21,2023-01-02 05:00:00,City_B,Withdrawal,0,29,301.69,19,-68.48
TID00031,3038.12,2023-01-02 06:00:00,City_A,Transfer,0,37,504.85,32,2533.27
TID00032,853.45,2023-01-02 07:00:00,City_B,Purchase,0,39,1302.54,50,-449.09
TID00033,326.19,2023-01-02 08:00:00,City_A,Transfer,0,19,937.97,72,-611.78
TID00034,4744.48,2023-01-02 09:00:00,City_D,Withdrawal,0,46,1129.82,55,3614.66
TID00035,4828.19,2023-01-02 10:00:00,City_A,Transfer,0,24,288.61,76,4539.58
TID00036,4042.18,2023-01-02 11:00:00,City_A,Transfer,0,14,1614.13,41,2428.05
TID00037,1523.76,2023-01-02 12:00:00,City_C,Purchase,0,47,1578.98,99,-55.22
TID00038,489.26,2023-01-02 13:00:00,City_B,Withdrawal,0,37,92.1,70,397.16
TID00039,3421.48,2023-01-02 14:00:00,City_D,Transfer,0,5,797.85,21,2623.63
TID00040,2201.32,2023-01-02 15:00:00,City_B,Purchase,0,24,184.1,26,2017.22
TID00041,611.07,2023-01-02 16:00:00,City_D,Transfer,0,34,1594.61,1,-983.54
TID00042,2476.39,2023-01-02 17:00:00,City_A,Purchase,0,31,1487.68,81,988.71
TID00043,172.91,2023-01-02 18:00:00,City_C,Purchase,0,30,1808.88,99,-1635.97
TID00044,4546.69,2023-01-02 19:00:00,City_C,Transfer,0,9,510.99,27,4035.7
TID00045,1294.64,2023-01-02 20:00:00,City_B,Withdrawal,0,27,939.78,50,354.86
TID00046,3312.95,2023-01-02 21:00:00,City_C,Withdrawal,0,28,409.75,66,2903.2
TID00047,1559.24,2023-01-02 22:00:00,City_B,Purchase,0,42,773.91,65,785.33
TID00048,2600.82,2023-01-02 23:00:00,City_B,Withdrawal,0,26,1068.37,10,1532.45
TID00049,2734.0,2023-01-03 00:00:00,City_D,Purchase,0,18,154.0,95,2580.0
TID00050,925.09,2023-01-03 01:00:00,City_B,Withdrawal,0,36,1444.0,37,-518.91
TID00051,4847.95,2023-01-03 02:00:00,City_D,Transfer,1,8,1109.42,69,3738.53
TID00052,3875.89,2023-01-03 03:00:00,City_C,Withdrawal,0,18,1666.47,41,2209.42
TID00053,4697.56,2023-01-03 04:00:00,City_B,Purchase,0,20,579.97,46,4117.59
TID00054,4474.24,2023-01-03 05:00:00,City_B,Purchase,0,32,1811.48,77,2662.76
TID00055,2989.9,2023-01-03 06:00:00,City_A,Withdrawal,0,29,1997.45,45,992.45
TID00056,4609.45,2023-01-03 07:00:00,City_B,Transfer,0,49,1842.63,88,2766.82
TID00057,443.37,2023-01-03 08:00:00,City_B,Purchase,0,48,1566.89,27,-1123.52
TID00058,980.72,2023-01-03 09:00:00,City_A,Purchase,0,18,1634.12,65,-653.4
TID00059,227.09,2023-01-03 10:00:00,City_A,Purchase,0,7,1168.8,84,-941.71
TID00060,1627.33,2023-01-03 11:00:00,City_C,Purchase,0,1,420.8,8,1206.53
TID00061,1944.0,2023-01-03 12:00:00,City_B,Purchase,0,28,1370.23,67,573.77
TID00062,1357.47,2023-01-03 13:00:00,City_C,Transfer,0,33,1439.87,49,-82.4
TID00063,4143.86,2023-01-03 14:00:00,City_C,Withdrawal,0,4,1971.5,96,2172.36
TID00064,1784.41,2023-01-03 15:00:00,City_A,Transfer,0,20,1105.54,89,678.87
TID00065,1405.39,2023-01-03 16:00:00,City_D,Transfer,1,36,579.17,89,826.22
TID00066,2713.94,2023-01-03 17:00:00,City_C,Purchase,0,31,1383.16,14,1330.78
TID00067,705.48,2023-01-03 18:00:00,City_D,Transfer,0,38,1959.78,62,-1254.3
TID00068,4011.18,2023-01-03 19:00:00,City_B,Purchase,0,28,395.57,43,3615.61
TID00069,373.68,2023-01-03 20:00:00,City_A,Transfer,0,3,685.7,27,-312.02
TID00070,4934.45,2023-01-03 21:00:00,City_B,Purchase,0,6,1106.67,96,3827.78
TID00071,3861.45,2023-01-03 22:00:00,City_B,Purchase,0,45,381.92,27,3479.53
TID00072,994.38,2023-01-03 23:00:00,City_A,Transfer,0,23,93.33,68,901.05
TID00073,28.61,2023-01-04 00:00:00,City_B,Transfer,1,7,707.12,75,-678.51
TID00074,4077.49,2023-01-04 01:00:00,City_A,Withdrawal,0,36,1737.47,48,2340.02
TID00075,3534.58,2023-01-04 02:00:00,City_D,Withdrawal,0,1,134.76,67,3399.82
TID00076,3645.31,2023-01-04 03:00:00,City_B,Withdrawal,0,6,886.41,25,2758.9
TID00077,3856.58,2023-01-04 04:00:00,City_A,Transfer,0,24,1536.29,64,2320.29
TID00078,371.15,2023-01-04 05:00:00,City_C,Transfer,0,37,1908.71,24,-1537.56
TID00079,1792.97,2023-01-04 06:00:00,City_B,Purchase,1,45,1971.68,9,-178.71
TID00080,580.23,2023-01-04 07:00:00,City_D,Withdrawal,0,36,872.84,8,-292.61
TID00081,4315.65,2023-01-04 08:00:00,City_A,Purchase,0,24,1903.25,95,2412.4
TID00082,3116.87,2023-01-04 09:00:00,City_B,Purchase,0,38,119.07,59,2997.8
TID00083,1655.16,2023-01-04 10:00:00,City_B,Purchase,0,45,1504.54,17,150.62
TID00084,318.73,2023-01-04 11:00:00,City_B,Purchase,0,29,1303.35,43,-984.62
TID00085,1555.6,2023-01-04 12:00:00,City_D,Withdrawal,0,37,536.57,95,1019.03
TID00086,1626.59,2023-01-04 13:00:00,City_A,Purchase,0,45,1039.27,68,587.32
TID00087,3648.3,2023-01-04 14:00:00,City_C,Transfer,0,32,302.63,4,3345.67
TID00088,3188.15,2023-01-04 15:00:00,City_C,Transfer,0,25,1749.61,8,1438.54
TID00089,4436.18,2023-01-04 16:00:00,City_C,Transfer,0,10,747.9,42,3688.28
TID00090,2361.6,2023-01-04 17:00:00,City_A,Withdrawal,0,35,1270.79,49,1090.81
TID00091,598.85,2023-01-04 18:00:00,City_C,Purchase,0,25,359.61,6,239.24
